50 120 480 1250
17826566 10 0 18834828 512
17761033 10 0 18834843 512
17761034 10 0 18834843 512
17695500 10 0 18834843 512
17695502 10 0 18834843 512
17695503 10 0 18834843 512
17695506 10 0 18834843 512
17695507 10 0 18834843 512
17695509 10 0 18834859 512
17695512 10 0 18834859 512
17695513 10 0 18834859 512
17695515 10 0 18834859 512
17695517 10 0 18834859 512
17695519 10 0 18834859 512
17695521 10 0 18834859 512
17761059 10 0 18834859 512
17761060 10 0 18834875 512
17826600 10 0 18834875 512
17826601 10 0 18834875 512
17826603 10 0 18834875 512
17892140 10 0 18834875 512
17957679 10 0 18834875 512
17957680 10 0 18834875 512
17957681 10 0 18834875 512
17957683 10 0 18834890 512
18023221 10 0 18834890 512
18088759 10 0 18834890 512
18154296 10 0 18834890 512
18154297 10 0 18834890 512
18154298 10 0 18834890 512
18219834 10 0 18834906 512
18219835 10 0 18834906 512
18285371 10 0 18834906 512
18350907 10 0 18834921 512
18350907 10 0 18834937 514
19792657 10 0 18835031 513
19858192 10 0 18835031 512
19923727 10 0 18835031 512
19989262 10 0 18835046 512
19989263 10 0 18835078 512
19989264 10 0 18835078 512
19989265 10 0 18835078 512
19989266 10 0 18835093 512
19989267 10 0 18835093 512
19989268 10 0 18835093 512
19989269 10 0 18835093 512
19989271 10 0 18835093 512
19923735 10 0 18835109 512
19923736 10 0 18835109 512
19923737 10 0 18835109 512
19858202 10 0 18835109 512
19858203 10 0 18835109 512
19792669 10 0 18835109 512
19727134 10 0 18835109 512
19727135 10 0 18835125 512
19661599 10 0 18835125 512
19661600 10 0 18835125 512
19596065 10 0 18835125 512
19464995 10 0 18835125 512
19399460 10 0 18835125 512
19333925 10 0 18835140 512
19333925 10 0 18835140 514
19202855 10 0 18835140 513
19137320 10 0 18835140 512
19071784 10 0 18835140 512
19006249 10 0 18835140 512
18940715 10 0 18835140 512
18809643 10 0 18835156 512
18809643 10 0 18835156 514
16450359 10 0 18835218 513
16384823 10 0 18835218 512
16384822 10 0 18835234 512
16450358 10 0 18835234 512
16450357 10 0 18835234 512
16515893 10 0 18835250 512
16646964 10 0 18835250 512
16712500 10 0 18835250 512
16778036 10 0 18835250 512
16843571 10 0 18835250 512
16974643 10 0 18835250 512
17040178 10 0 18835265 512
17171250 10 0 18835265 512
17236786 10 0 18835265 512
17302322 10 0 18835265 512
17367858 10 0 18835265 512
17498930 10 0 18835265 512
17564466 10 0 18835265 512
17695537 10 0 18835281 512
17761073 10 0 18835281 512
17826609 10 0 18835281 512
17892145 10 0 18835281 512
